type,response_particle,correct_particle,particle_accuracy,mean_accuracy,short,critical,exp
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,0.833333333333333,1,1,Condition 1a
agree_minus,nish,nish,1,0.833333333333333,NA,0,Condition 1a
reverse_plus,va,vadof,1,0.833333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.833333333333333,1,1,Condition 1a
agree_minus,nish,nish,1,0.833333333333333,NA,0,Condition 1a
agree_minus,nish,nish,1,0.833333333333333,NA,0,Condition 1a
reverse_minus,nish,nish,1,0.833333333333333,NA,0,Condition 1a
reverse_plus,va,vadof,1,0.833333333333333,1,1,Condition 1a
reverse_plus,va,vadof,1,0.833333333333333,1,1,Condition 1a
reverse_plus,va,vadof,1,0.833333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.833333333333333,1,1,Condition 1a
reverse_plus,nish,vadof,0,0.833333333333333,NA,1,Condition 1a
agree_plus,va,va,1,0.833333333333333,1,1,Condition 1a
reverse_plus,vadof,vadof,1,0.833333333333333,0,1,Condition 1a
reverse_plus,nish,vadof,0,0.833333333333333,NA,1,Condition 1a
reverse_plus,va,vadof,1,0.833333333333333,1,1,Condition 1a
reverse_minus,nish,nish,1,0.833333333333333,NA,0,Condition 1a
agree_minus,vadof,nish,0,0.833333333333333,NA,0,Condition 1a
agree_plus,va,va,1,0.833333333333333,1,1,Condition 1a
reverse_minus,nish,nish,1,0.833333333333333,NA,0,Condition 1a
reverse_minus,vadof,nish,0,0.833333333333333,NA,0,Condition 1a
agree_plus,vadof,va,1,0.833333333333333,0,1,Condition 1a
agree_plus,va,va,1,0.833333333333333,1,1,Condition 1a
agree_plus,vadof,va,1,0.833333333333333,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
agree_minus,vadof,nish,0,0.916666666666667,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,0.916666666666667,0,1,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
reverse_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,0.916666666666667,0,1,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
reverse_plus,vadof,vadof,1,0.916666666666667,0,1,Condition 1a
reverse_plus,nish,vadof,0,0.916666666666667,NA,1,Condition 1a
reverse_plus,vadof,vadof,1,0.916666666666667,0,1,Condition 1a
reverse_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
agree_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
agree_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,0.916666666666667,0,1,Condition 1a
reverse_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
reverse_plus,vadof,vadof,1,0.916666666666667,0,1,Condition 1a
reverse_plus,vadof,vadof,1,0.916666666666667,0,1,Condition 1a
agree_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,0.958333333333333,0,1,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
reverse_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
reverse_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_plus,vadof,va,1,0.958333333333333,0,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_plus,vadof,vadof,1,0.958333333333333,0,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_plus,vadof,vadof,1,0.958333333333333,0,1,Condition 1a
agree_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
agree_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
reverse_plus,nish,vadof,0,0.958333333333333,NA,1,Condition 1a
reverse_plus,vadof,vadof,1,0.958333333333333,0,1,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
agree_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
agree_minus,va,nish,0,0.916666666666667,NA,0,Condition 1a
reverse_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
reverse_plus,va,vadof,1,0.916666666666667,1,1,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
reverse_plus,va,vadof,1,0.916666666666667,1,1,Condition 1a
reverse_plus,va,vadof,1,0.916666666666667,1,1,Condition 1a
reverse_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
reverse_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
agree_plus,vadof,va,1,0.916666666666667,0,1,Condition 1a
reverse_plus,va,vadof,1,0.916666666666667,1,1,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
reverse_plus,va,vadof,1,0.916666666666667,1,1,Condition 1a
agree_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
reverse_plus,va,vadof,1,0.916666666666667,1,1,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
reverse_plus,typo,vadof,0,0.916666666666667,NA,1,Condition 1a
agree_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
reverse_minus,nish,nish,1,0.916666666666667,NA,0,Condition 1a
reverse_plus,va,vadof,1,0.916666666666667,1,1,Condition 1a
agree_plus,va,va,1,0.916666666666667,1,1,Condition 1a
agree_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
reverse_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
reverse_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
reverse_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
agree_minus,va,nish,0,0.958333333333333,NA,0,Condition 1a
agree_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
agree_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
reverse_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_minus,vadof,nish,0,0.958333333333333,NA,0,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
agree_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_minus,nish,nish,1,0.958333333333333,NA,0,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
agree_plus,va,va,1,0.958333333333333,1,1,Condition 1a
reverse_plus,va,vadof,1,0.958333333333333,1,1,Condition 1a
reverse_plus,vadof,vadof,1,0.958333333333333,0,1,Condition 1a
reverse_plus,vadof,vadof,1,0.958333333333333,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
agree_plus,va,va,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_minus,nish,nish,1,1,NA,0,Condition 1a
reverse_plus,vadof,vadof,1,1,0,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
agree_plus,vadof,va,1,1,0,1,Condition 1a
reverse_plus,va,vadof,1,1,1,1,Condition 1a
